city,pollutant,mean_pollution,day,month,year,month_name
Toronto,NO,14.875,18,1,2002,NA
Toronto,NO,59.125,19,1,2002,NA
Toronto,NO,10.75,20,1,2002,NA
Toronto,NO,15.291666666666666,21,1,2002,NA
Toronto,NO,20.5,22,1,2002,NA
Toronto,NO,27.708333333333332,23,1,2002,NA
Toronto,NO,25.5,24,1,2002,NA
Toronto,NO,13.583333333333334,25,1,2002,NA
Toronto,NO,19.458333333333332,26,1,2002,NA
Toronto,NO,10.375,27,1,2002,NA
Toronto,NO,45.958333333333336,28,1,2002,NA
Toronto,NO,19.958333333333332,29,1,2002,NA
Toronto,NO,21.541666666666668,30,1,2002,NA
Toronto,NO,8.625,31,1,2002,NA
Toronto,NO,16.708333333333332,1,2,2002,NA
Toronto,NO,24.708333333333332,2,2,2002,NA
Toronto,NO,8.75,3,2,2002,NA
Toronto,NO,18.166666666666668,4,2,2002,NA
Toronto,NO,18.75,5,2,2002,NA
Toronto,NO,23.958333333333332,6,2,2002,NA
Toronto,NO,23.75,7,2,2002,NA
Toronto,NO,41.708333333333336,8,2,2002,NA
Toronto,NO,1.875,9,2,2002,NA
Toronto,NO,15.958333333333334,10,2,2002,NA
Toronto,NO,14.916666666666666,11,2,2002,NA
Toronto,NO,8.791666666666666,12,2,2002,NA
Toronto,NO,15.25,13,2,2002,NA
Toronto,NO,10.458333333333334,14,2,2002,NA
Toronto,NO,14,15,2,2002,NA
Toronto,NO,15.5,16,2,2002,NA
Toronto,NO,8.666666666666666,17,2,2002,NA
Toronto,NO,29.833333333333332,18,2,2002,NA
Toronto,NO,22.166666666666668,19,2,2002,NA
Toronto,NO,6.75,20,2,2002,NA
Toronto,NO,29.25,21,2,2002,NA
Toronto,NO,16.458333333333332,22,2,2002,NA
Toronto,NO,15.625,23,2,2002,NA
Toronto,NO,8.458333333333334,24,2,2002,NA
Toronto,NO,26.583333333333332,25,2,2002,NA
Toronto,NO,13.708333333333334,26,2,2002,NA
Toronto,NO,10.5,27,2,2002,NA
Toronto,NO,21.458333333333332,28,2,2002,NA
Toronto,NO,12.75,1,3,2002,NA
Toronto,NO,1.5,2,3,2002,NA
Toronto,NO,4.791666666666667,3,3,2002,NA
Toronto,NO,10.25,4,3,2002,NA
Toronto,NO,15.625,5,3,2002,NA
Toronto,NO,41.5,6,3,2002,NA
Toronto,NO,3.375,7,3,2002,NA
Toronto,NO,51.958333333333336,8,3,2002,NA
Toronto,NO,18.833333333333332,9,3,2002,NA
Toronto,NO,4,10,3,2002,NA
Toronto,NO,10.541666666666666,11,3,2002,NA
Toronto,NO,20.416666666666668,12,3,2002,NA
Toronto,NO,28.958333333333332,13,3,2002,NA
Toronto,NO,3.625,14,3,2002,NA
Toronto,NO,13.625,15,3,2002,NA
Toronto,NO,8.916666666666666,16,3,2002,NA
Toronto,NO,1.125,17,3,2002,NA
Toronto,NO,11.333333333333334,18,3,2002,NA
Toronto,NO,2.8333333333333335,19,3,2002,NA
Toronto,NO,15.25,20,3,2002,NA
Toronto,NO,11.375,21,3,2002,NA
Toronto,NO,9.541666666666666,22,3,2002,NA
Toronto,NO,7.416666666666667,23,3,2002,NA
Toronto,NO,6.708333333333333,24,3,2002,NA
Toronto,NO,8.208333333333334,25,3,2002,NA
Toronto,NO,32.333333333333336,26,3,2002,NA
Toronto,NO,16.833333333333332,27,3,2002,NA
Toronto,NO,28.791666666666668,28,3,2002,NA
Toronto,NO,7.291666666666667,29,3,2002,NA
Toronto,NO,11.041666666666666,30,3,2002,NA
Toronto,NO,9.458333333333334,31,3,2002,NA
Toronto,NO,14.875,1,4,2002,NA
