Pollutant,January,February,March,April,May,June,July,August,September,October,November,December,Average,StdDeviation,Year
O3,22,27,30,31,27,27,29,25,21,17,17,17,24,12,2019
PM2.5,7,8,9,6,6,6,8,5,5,5,8,9,7,6,2019
SO2,0.1,0.2,0.3,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.4,2019
NO,5,3,2,1,1,1,1,1,2,4,3,4,2,7,2020
NO2,12,11,8,7,7,6,5,6,7,9,11,12,8,7,2020
NOX,17,14,10,8,8,7,6,7,9,13,14,15,11,13,2020
O3,21,26,28,34,31,33,31,27,23,19,22,19,26,12,2020
PM2.5,7,8,6,6,6,7,7,6,6,5,9,7,7,5,2020
CO,0.24,0.23,0.23,0.19,0.21,0.21,0.2,0.2,0.23,0.22,0.25,0.23,0.22,0.09,2020
NO,7,6,5,3,4,3,3,3,7,7,7,7,5,10,2020
NO2,17,17,14,10,10,10,8,8,11,12,15,15,12,9,2020
NOX,24,23,19,13,14,13,10,11,18,19,22,22,17,17,2020
O3,19,24,26,31,28,30,27,25,19,17,19,16,23,13,2020
PM2.5,7,7,7,6,6,7,8,7,7,5,9,8,7,5,2020
SO2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.3,0.4,0.1,0.2,0.4,2020
NO,7,6,5,4,4,4,3,4,6,6,7,6,5,10,2020
NO2,17,16,14,11,12,11,9,9,10,12,14,13,12,8,2020
NOX,24,21,19,16,16,14,12,14,16,18,21,19,17,17,2020
O3,18,24,25,30,27,29,26,23,20,16,19,17,23,11,2020
PM2.5,7,8,7,6,7,8,7,7,7,6,9,8,7,5,2020
CO,0.3,0.31,0.29,0.25,0.27,0.27,0.29,0.29,0.3,0.31,0.33,0.32,0.29,0.13,2020
NO,19,21,15,11,12,12,14,14,20,23,18,22,17,22,2020
NO2,20,22,17,14,14,14,14,12,14,16,18,19,16,10,2020
NOX,39,43,32,26,26,26,27,26,34,38,36,41,33,30,2020
O3,15,19,21,27,24,25,22,20,16,13,16,13,19,13,2020
PM2.5,9,9,8,7,8,10,9,10,9,6,9,10,9,7,2020
SO2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.1,0.1,0.2,2020
CO,0.21,0.2,0.2,0.17,0.18,0.17,0.17,0.18,0.2,0.2,0.24,0.2,0.19,0.07,2020
NO,3,2,2,2,1,1,1,1,2,3,3,4,2,6,2020
NO2,13,10,10,8,8,6,5,6,7,9,13,12,9,7,2020
NOX,16,12,12,9,9,7,6,7,10,12,16,16,11,11,2020
O3,21,27,27,33,31,34,32,27,22,19,20,18,26,13,2020
PM2.5,7,7,6,6,6,6,6,6,5,4,9,8,6,5,2020
SO2,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.3,0.1,0.2,0.4,2020
NO,9,7,6,6,5,4,4,3,4,5,5,4,5,7,2020
NO2,18,17,14,12,13,11,10,9,9,11,13,12,12,8,2020
NOX,26,24,20,18,18,15,13,13,13,16,18,16,18,13,2020
O3,18,24,25,29,27,32,29,25,22,18,21,18,24,11,2020
PM2.5,9,9,8,6,7,8,7,7,7,6,9,8,8,5,2020
