File generated on // Fichier créé sur, 2020-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant:, CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units // Unités, ppm // ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data is hour ending local standard time // Données en heure normale locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant//Polluant ,NAPS ID//Identifiant SNPA,City//Ville,P/T//P/T,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
CO,10102,St Johns,NL,47.56038,-52.71147,20170312,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.17,0.16,0.16,0.14,0.16,0.16,0.16,0.17,0.16,0.16,0.17,0.15,0.15,0.16,0.15,0.19,0.18
CO,10102,St Johns,NL,47.56038,-52.71147,20170313,0.15,0.16,0.15,0.14,0.14,0.14,0.17,0.21,0.21,0.17,0.15,0.16,0.16,0.18,0.16,0.19,0.19,0.21,0.19,0.19,0.2,0.18,0.18,0.19
CO,10102,St Johns,NL,47.56038,-52.71147,20170314,0.18,0.17,0.14,0.13,0.14,0.14,0.18,0.21,0.21,0.15,0.15,0.16,0.23,0.17,0.19,0.18,0.17,0.21,0.2,0.2,0.19,0.18,0.2,0.18
CO,10102,St Johns,NL,47.56038,-52.71147,20170315,0.25,0.25,0.23,0.14,0.14,0.14,0.14,0.15,0.15,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.15,0.15,0.13,0.23,0.2,0.18,0.22,0.11
CO,10102,St Johns,NL,47.56038,-52.71147,20170316,0.1,0.1,0.1,0.1,0.1,0.09,0.11,0.14,0.14,0.15,0.15,0.15,0.16,0.16,0.15,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.15,0.17
CO,10102,St Johns,NL,47.56038,-52.71147,20170317,0.15,0.16,0.16,0.17,0.15,0.14,0.2,0.26,0.17,0.17,0.15,0.15,0.16,0.16,0.16,0.17,0.17,0.26,0.24,0.25,0.3,0.29,0.25,0.25
CO,10102,St Johns,NL,47.56038,-52.71147,20170318,0.26,0.24,0.27,0.2,0.15,0.13,0.16,0.18,0.17,0.2,0.23,0.17,0.2,0.19,0.19,0.23,0.18,0.18,0.26,0.31,0.2,0.21,0.15,0.14
CO,10102,St Johns,NL,47.56038,-52.71147,20170319,0.17,0.15,0.14,0.13,0.14,0.16,0.16,0.19,0.16,0.13,0.13,0.16,0.15,0.17,0.24,0.24,0.18,0.19,0.19,0.24,0.23,0.24,0.16,0.13
CO,10102,St Johns,NL,47.56038,-52.71147,20170320,0.13,0.13,0.12,0.11,0.12,0.11,0.12,0.14,0.18,0.13,0.13,0.12,0.12,0.13,0.4,0.19,0.21,0.14,0.16,0.17,0.27,0.23,0.33,0.27
CO,10102,St Johns,NL,47.56038,-52.71147,20170321,0.21,0.18,0.18,0.12,0.13,0.18,0.14,0.31,0.33,0.23,0.21,0.22,0.14,0.18,0.21,0.14,0.14,0.31,0.19,0.14,0.14,0.36,0.15,0.15
CO,10102,St Johns,NL,47.56038,-52.71147,20170322,0.14,0.14,0.13,0.18,0.13,0.12,0.13,0.15,0.15,0.13,0.15,0.14,0.13,0.19,0.17,0.19,0.25,0.15,0.16,0.16,0.15,0.16,0.15,0.14
CO,10102,St Johns,NL,47.56038,-52.71147,20170323,0.14,0.15,0.12,0.12,0.13,0.16,0.13,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.16,0.16,0.15,0.16,0.16,0.16,0.26,0.17,0.17
CO,10102,St Johns,NL,47.56038,-52.71147,20170324,0.16,0.17,0.16,0.14,0.14,0.14,0.16,0.17,0.18,0.15,0.15,0.15,0.15,0.15,0.16,0.17,0.16,0.17,0.18,0.17,0.15,0.17,0.17,0.16
CO,10102,St Johns,NL,47.56038,-52.71147,20170325,0.17,0.14,0.15,0.14,0.14,0.14,0.16,0.16,0.16,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.16,0.15,0.15,0.15,0.17,0.16,0.14
CO,10102,St Johns,NL,47.56038,-52.71147,20170326,0.19,0.24,0.17,0.14,0.13,0.14,0.13,0.13,0.15,0.14,0.14,0.15,0.15,0.2,0.16,0.17,0.15,0.13,0.16,0.14,0.15,0.28,0.13,0.12
CO,10102,St Johns,NL,47.56038,-52.71147,20170327,0.18,0.13,0.13,0.12,0.12,0.12,0.13,0.17,0.16,0.13,0.13,0.13,0.15,0.15,0.17,0.22,0.18,0.17,0.16,0.16,0.14,0.16,0.19,0.13
CO,10102,St Johns,NL,47.56038,-52.71147,20170328,0.14,0.14,0.13,0.12,0.12,0.12,0.13,0.14,0.15,0.13,0.14,0.14,0.14,0.13,0.14,0.16,0.16,0.14,0.14,0.15,0.15,0.18,0.16,0.14
