*DESCRIPTION
*MEANS REPORT
************DESCRIPTION************
"File generated on","2021-06-23"
"",""
"NAPS Means Datafile",""
"",""
"Units:",""
"SO2 NO2 O3 NO and NOx are ppb",""
"CO is ppm",""
"PM10 and PM2.5 are in ug/m3",""
"",""
"Reporting criteria:",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
************MEANS REPORT************
"NAPS ID","City","Location","Latitude","Longitude","Elevation","Classification","Pollutant","January","February","March","April","May","June","July","August","September","October","November","December","Average","StdDeviation","%Complete","","","","","","","","","","","",""
"040206","Saint John","189 Prince William","45.269677","-66.06151","29","PE,MU,P3,R","O3","30","32","","","","","","","","","","","","","18","","","","","","","","","","","",""
"040206","Saint John","189 Prince William","45.269677","-66.06151","29","PE,MU,P3,R","SO2","0.6","0.6","","","","","","","","","","","","","18","","","","","","","","","","","",""
"040207","Saint John","476 Lancaster Avenue W.","45.252898","-66.080065","59","PS,MU,P3,R","NO","3","3","2","2","1","1","1","2","2","1","2","2","2","4","96","","","","","","","","","","","",""
"040207","Saint John","476 Lancaster Avenue W.","45.252898","-66.080065","59","PS,MU,P3,R","NO2","3","4","4","4","2","1","2","3","3","3","5","7","3","4","96","","","","","","","","","","","",""
"040207","Saint John","476 Lancaster Avenue W.","45.252898","-66.080065","59","PS,MU,P3,R","NOX","6","7","6","6","3","2","3","5","5","4","7","9","5","7","96","","","","","","","","","","","",""
"040207","Saint John","476 Lancaster Avenue W.","45.252898","-66.080065","59","PS,MU,P3,R","O3","27","29","33","35","29","26","25","21","19","21","22","28","26","9","99","","","","","","","","","","","",""
"040207","Saint John","476 Lancaster Avenue W.","45.252898","-66.080065","59","PS,MU,P3,R","PM2.5","6","6","7","7","6","6","8","6","4","5","6","6","6","4","98","","","","","","","","","","","",""
"040207","Saint John","476 Lancaster Avenue W.","45.252898","-66.080065","59","PS,MU,P3,R","SO2","2","1.4","2.4","2.4","0.8","0.3","0.5","0.9","1.1","0.8","1.3","0.9","1.3","3.7","100","","","","","","","","","","","",""
"040208","Saint John","111 Champlain Drive","45.291218","-66.00305","47","PS,MU,P3,R","PM2.5","6","7","6","6","3","3","3","4","4","5","5","7","5","4","94","","","","","","","","","","","",""
"040208","Saint John","111 Champlain Drive","45.291218","-66.00305","47","PS,MU,P3,R","SO2","2","1.9","0.9","1.3","0.4","1.1","0.7","0.8","1.1","0.5","1.5","0.6","1","4.4","98","","","","","","","","","","","",""
"040209","Saint John","8 Castle Street","45.28028","-66.05611","41","PE,MU,P3,R","CO","","","","0.17","0.15","0.13","0.14","0.14","0.13","0.14","0.15","0.17","","","74","","","","","","","","","","","",""
"040209","Saint John","8 Castle Street","45.28028","-66.05611","41","PE,MU,P3,R","NO","","","","1","1","2","1","1","2","3","2","2","","","74","","","","","","","","","","","",""
"040209","Saint John","8 Castle Street","45.28028","-66.05611","41","PE,MU,P3,R","NO2","","","","4","5","6","4","4","4","4","4","5","","","74","","","","","","","","","","","",""
