Pollutant:, CO
Units:, ppm
Data is hour ending local standard time.
Note:,Zeros are valid. -999 denotes no data available.

Pollutant,NAPSID,City,P/T,Latitude,Longitude,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
CO,010102,St Johns,NL,47.56038,-52.7115,20130315,0.18,0.17,0.16,0.16,0.15,0.15,0.16,0.17,0.19,0.18,0.17,0.19,0.21,0.21,0.23,0.24,0.31,0.41,0.31,0.36,0.29,0.30,0.32,0.29
CO,010102,St Johns,NL,47.56038,-52.7115,20130316,0.30,0.28,0.26,0.25,0.24,0.22,0.20,0.20,0.19,0.19,0.19,0.19,0.21,0.20,0.22,0.22,0.21,0.20,0.21,0.22,0.21,0.22,0.26,0.26
CO,010102,St Johns,NL,47.56038,-52.7115,20130317,0.28,0.34,0.35,0.34,0.29,0.27,0.24,0.22,0.27,0.29,0.25,0.23,0.23,0.23,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
CO,010102,St Johns,NL,47.56038,-52.7115,20130318,0.21,0.20,0.21,0.19,0.18,0.18,0.16,0.18,0.23,0.21,0.18,0.19,0.18,0.18,0.17,0.23,0.26,0.24,0.23,0.22,0.21,0.20,0.20,0.20
CO,010102,St Johns,NL,47.56038,-52.7115,20130319,0.19,0.17,0.17,0.16,0.15,0.15,0.15,0.19,0.20,0.20,0.18,0.17,0.17,0.16,0.17,0.19,0.23,0.23,0.22,0.23,0.23,0.24,0.27,0.27
CO,010102,St Johns,NL,47.56038,-52.7115,20130320,0.25,0.22,0.22,0.20,0.19,0.18,0.18,0.29,0.27,0.25,0.24,0.23,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CO,010102,St Johns,NL,47.56038,-52.7115,20130321,0.24,0.23,0.24,0.31,0.29,0.29,0.28,0.26,0.25,0.25,0.25,0.24,0.22,0.21,0.20,0.19,0.19,0.20,0.26,0.33,0.31,0.28,0.26,0.25
CO,010102,St Johns,NL,47.56038,-52.7115,20130322,0.26,0.26,0.29,0.29,0.27,0.29,0.30,0.32,0.36,0.28,0.27,0.24,0.23,0.21,0.20,0.31,0.32,0.28,0.28,0.28,0.28,0.27,0.27,0.28
CO,010102,St Johns,NL,47.56038,-52.7115,20130323,0.28,0.29,0.28,0.29,0.25,0.23,0.22,0.21,0.21,0.21,0.21,0.20,0.21,0.22,0.24,0.24,0.24,0.24,0.25,0.44,0.58,0.58,0.60,0.58
CO,010102,St Johns,NL,47.56038,-52.7115,20130324,0.50,0.44,0.39,0.35,0.33,0.31,0.27,0.25,0.25,0.24,0.23,0.24,0.24,0.26,0.28,0.25,0.30,0.26,0.27,0.36,0.32,0.31,0.28,0.32
CO,010102,St Johns,NL,47.56038,-52.7115,20130325,0.29,0.24,0.22,0.21,0.20,0.19,0.17,0.20,0.22,0.20,0.21,0.20,0.22,0.21,0.20,0.24,0.26,0.27,0.27,0.25,0.25,0.24,0.23,0.23
CO,010102,St Johns,NL,47.56038,-52.7115,20130326,0.22,0.21,0.20,0.19,0.18,0.18,0.18,0.25,0.27,0.30,0.25,0.24,0.27,0.26,0.25,0.25,0.28,0.36,0.37,0.32,0.29,0.26,0.27,0.26
CO,010102,St Johns,NL,47.56038,-52.7115,20130327,0.24,0.22,0.21,0.20,0.19,0.18,0.18,0.20,0.26,0.24,0.24,0.22,0.25,0.24,0.23,0.28,0.31,0.29,0.27,0.25,0.24,0.24,0.25,0.23
CO,010102,St Johns,NL,47.56038,-52.7115,20130328,0.23,0.22,0.21,0.20,0.19,0.18,0.19,0.22,0.24,0.24,0.23,0.23,0.26,0.24,0.23,0.31,0.32,0.31,0.30,0.30,0.30,0.29,0.29,0.28
CO,010102,St Johns,NL,47.56038,-52.7115,20130329,0.27,0.26,0.24,0.22,0.20,0.19,0.17,0.15,0.15,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.18,0.19,0.18,0.19,0.19,0.19,0.19,0.19
CO,010102,St Johns,NL,47.56038,-52.7115,20130330,0.22,0.19,0.18,0.18,0.16,0.16,0.16,0.18,0.25,0.24,0.22,0.20,0.19,0.19,0.18,0.18,0.18,0.19,0.18,0.17,0.17,0.17,0.20,0.18
CO,010102,St Johns,NL,47.56038,-52.7115,20130331,0.22,0.20,0.20,0.20,0.18,0.17,0.16,0.20,0.29,0.26,0.23,0.24,0.23,0.20,0.19,0.18,0.18,0.18,0.24,0.18,0.19,0.19,0.19,0.20
CO,010102,St Johns,NL,47.56038,-52.7115,20130401,0.19,0.18,0.21,0.16,0.16,0.15,0.17,0.24,0.23,0.22,0.22,0.19,0.19,0.21,0.21,0.24,0.25,0.32,0.29,0.27,0.25,0.25,0.24,0.26
CO,010102,St Johns,NL,47.56038,-52.7115,20130402,0.22,0.20,0.19,0.17,0.16,0.16,0.15,0.18,0.22,0.22,0.21,0.20,0.24,0.23,0.22,0.24,0.28,0.32,0.32,0.34,0.31,0.29,0.29,0.27
CO,010102,St Johns,NL,47.56038,-52.7115,20130403,0.24,0.22,0.20,0.19,0.17,0.17,0.17,0.23,0.25,0.23,0.21,0.18,0.16,0.14,0.15,0.15,0.16,0.17,0.15,0.17,0.18,0.18,0.16,0.15
CO,010102,St Johns,NL,47.56038,-52.7115,20130404,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.19,0.19,0.17,0.14,0.14,0.15,0.15,0.16,0.15,0.19,0.17,0.16,0.20,0.16,0.17,0.15,0.15
CO,010102,St Johns,NL,47.56038,-52.7115,20130405,0.14,0.13,0.14,0.13,0.13,0.13,0.16,0.19,0.17,0.15,0.15,0.14,-999,0.17,0.17,0.18,0.19,0.19,0.18,0.19,0.19,0.18,0.24,0.20
CO,010102,St Johns,NL,47.56038,-52.7115,20130406,0.17,0.18,0.25,0.17,0.16,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.19,0.21,0.18
CO,010102,St Johns,NL,47.56038,-52.7115,20130407,0.18,0.17,0.17,0.17,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.17,0.18,0.18,0.19,0.19,0.21,0.20,0.20,0.19,0.18,0.17,0.17
CO,010102,St Johns,NL,47.56038,-52.7115,20130408,0.16,0.16,0.16,0.16,0.15,0.16,0.17,0.20,0.20,0.19,0.21,-999,-999,-999,-999,0.21,0.23,0.23,0.24,0.25,0.25,0.24,0.24,0.23
CO,010102,St Johns,NL,47.56038,-52.7115,20130409,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.31,0.24,0.25,0.22,0.20,0.21,0.23,0.26,0.35,0.37,0.35,0.34,0.32,0.28,0.25,0.48,0.34
CO,010102,St Johns,NL,47.56038,-52.7115,20130410,0.31,0.25,0.25,0.23,0.23,0.22,0.23,0.24,0.41,0.42,0.30,0.27,0.23,0.23,0.24,0.23,0.23,0.25,0.23,0.23,0.23,0.23,0.29,0.26
CO,010102,St Johns,NL,47.56038,-52.7115,20130411,0.23,0.23,0.22,0.21,0.20,0.20,0.21,0.25,0.27,0.25,0.25,0.23,0.23,0.21,0.21,0.21,0.23,0.24,0.23,0.24,0.25,0.25,0.25,0.26
CO,010102,St Johns,NL,47.56038,-52.7115,20130412,0.27,0.22,0.21,0.20,0.19,0.19,0.19,0.20,0.21,0.20,0.22,0.25,0.22,0.22,0.23,0.20,0.31,0.25,0.23,0.25,0.30,0.24,0.30,0.23
