*DESCRIPTION
*MEANS REPORT
************DESCRIPTION************
"File generated on","2022-03-25"
"",""
"NAPS Means Datafile",""
"",""
"Units:",""
"SO2 NO2 O3 NO and NOx are ppb",""
"CO is ppm",""
"PM10 and PM2.5 are in ug/m3",""
"",""
"Reporting criteria:",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
************MEANS REPORT************
"NAPS ID","City","Location","Latitude","Longitude","Elevation","LandUse","Pollutant","January","February","March","April","May","June","July","August","September","October","November","December","Average","StdDeviation","%Complete"
"031101","Kentville","32 Main Street","45.06725","-64.47743","60","PE,SU,P3,A","NO","0","0","0","0","1","1","1","0","1","0","0","0","0","1","99"
"031101","Kentville","32 Main Street","45.06725","-64.47743","60","PE,SU,P3,A","NO2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","99"
"031101","Kentville","32 Main Street","45.06725","-64.47743","60","PE,SU,P3,A","NOX","2","1","1","1","1","1","1","1","1","1","2","2","1","2","99"
"031101","Kentville","32 Main Street","45.06725","-64.47743","60","PE,SU,P3,A","O3","35","37","41","41","34","30","24","24","20","24","28","31","31","10","98"
"031101","Kentville","32 Main Street","45.06725","-64.47743","60","PE,SU,P3,A","PM2.5","7","9","6","6","8","","9","10","7","7","7","8","8","3","93"
"040104","Fredericton","486 Needham Street","45.957289","-66.645236","10","PE,MU,P3,R","NO","1","1","0","0","0","0","0","0","1","1","1","1","1","2","100"
"040104","Fredericton","486 Needham Street","45.957289","-66.645236","10","PE,MU,P3,R","NO2","4","4","1","0","0","0","1","2","2","2","3","4","2","4","100"
"040104","Fredericton","486 Needham Street","45.957289","-66.645236","10","PE,MU,P3,R","NOX","5","5","1","1","0","0","1","2","2","3","4","5","2","6","100"
"040104","Fredericton","486 Needham Street","45.957289","-66.645236","10","PE,MU,P3,R","O3","32","34","43","42","36","31","27","24","21","24","26","28","31","11","98"
"040104","Fredericton","486 Needham Street","45.957289","-66.645236","10","PE,MU,P3,R","PM2.5","6","7","3","4","7","7","9","7","3","3","5","6","6","5","98"
"040203","Saint John","Mountain Road","45.308762","-66.008384","41","PS,MU,P3,R","NO","1","1","0","1","1","1","1","1","1","1","0","1","1","2","100"
